BER,n,k,t,Bit Errors
0.00012742749857031334,15,7,2,40
0.00012742749857031334,15,5,3,30
0.00012742749857031334,31,26,1,50
0.00012742749857031334,31,11,4,31
0.00012742749857031334,63,57,1,7
0.00012742749857031334,63,39,5,36
0.00012742749857031334,127,120,1,7
0.00012742749857031334,127,50,6,14
0.00020691380811147902,7,4,1,31
0.00020691380811147902,15,11,1,31
0.00020691380811147902,15,7,2,40
0.00020691380811147902,15,5,3,30
0.00020691380811147902,31,26,1,52
0.00020691380811147902,31,11,4,30
0.00020691380811147902,63,57,1,9
0.00020691380811147902,63,39,5,36
0.00020691380811147902,127,120,1,8
0.00020691380811147902,127,50,6,14
0.0003359818286283781,7,4,1,30
0.0003359818286283781,15,11,1,28
0.0003359818286283781,15,7,2,40
0.0003359818286283781,15,5,3,30
0.0003359818286283781,31,26,1,51
0.0003359818286283781,31,11,4,30
0.0003359818286283781,63,57,1,7
0.0003359818286283781,63,39,5,37
0.0003359818286283781,127,120,1,4
0.0003359818286283781,127,50,6,22
0.0005455594781168515,7,4,1,30
0.0005455594781168515,15,11,1,32
0.0005455594781168515,15,7,2,40
0.0005455594781168515,15,5,3,30
0.0005455594781168515,31,26,1,49
0.0005455594781168515,31,11,4,30
0.0005455594781168515,63,57,1,6
0.0005455594781168515,63,39,5,35
0.0005455594781168515,127,120,1,8
0.0005455594781168515,127,50,6,14
0.0008858667904100823,7,4,1,31
0.0008858667904100823,15,11,1,38
0.0008858667904100823,15,7,2,40
0.0008858667904100823,15,5,3,30
0.0008858667904100823,31,26,1,49
0.0008858667904100823,31,11,4,30
0.0008858667904100823,63,57,1,9
0.0008858667904100823,63,39,5,38
0.0008858667904100823,127,120,1,9
0.0008858667904100823,127,50,6,14
0.0014384498882876629,7,4,1,31
0.0014384498882876629,15,11,1,30
0.0014384498882876629,15,7,2,40
0.0014384498882876629,15,5,3,30
0.0014384498882876629,31,26,1,50
0.0014384498882876629,31,11,4,30
0.0014384498882876629,63,57,1,14
0.0014384498882876629,63,39,5,43
0.0014384498882876629,127,120,1,7
0.0014384498882876629,127,50,6,14
0.002335721469090121,7,4,1,30
0.002335721469090121,15,11,1,31
0.002335721469090121,15,7,2,42
0.002335721469090121,15,5,3,30
0.002335721469090121,31,26,1,51
0.002335721469090121,31,11,4,30
0.002335721469090121,63,57,1,14
0.002335721469090121,63,39,5,41
0.002335721469090121,127,120,1,11
0.002335721469090121,127,50,6,14
0.003792690190732246,7,4,1,32
0.003792690190732246,15,11,1,34
0.003792690190732246,15,7,2,40
0.003792690190732246,15,5,3,29
0.003792690190732246,31,26,1,50
0.003792690190732246,31,11,4,30
0.003792690190732246,63,57,1,8
0.003792690190732246,63,39,5,40
0.003792690190732246,127,120,1,3
0.003792690190732246,127,50,6,14
0.00615848211066026,7,4,1,31
0.00615848211066026,15,11,1,28
0.00615848211066026,15,7,2,40
0.00615848211066026,15,5,3,30
0.00615848211066026,31,26,1,56
0.00615848211066026,31,11,4,30
0.00615848211066026,63,57,1,6
0.00615848211066026,63,39,5,36
0.00615848211066026,127,120,1,4
0.00615848211066026,127,50,6,14
0.01,7,4,1,31
0.01,15,11,1,30
0.01,15,7,2,40
0.01,15,5,3,33
0.01,31,26,1,55
0.01,31,11,4,30
0.01,63,57,1,12
0.01,63,39,5,41
0.01,127,120,1,4
0.01,127,50,6,14
